Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.875164956000003
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,36.93522932
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56,36.63875464
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,33.41890172
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7,30.9574724
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100,40.38950408
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,12.73462172
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.680203152
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.86810032
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.698039603999995
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.720462532
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.83974188
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28,49.77327244
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.69782984
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,14,29.592309919999998
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28,26.200088
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,63.14221208
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.101223159999996
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180,27.62730332
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.447769788
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.378282643999995
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.589312159999999
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28,27.935499091999997
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.455953576
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28,35.314271244
491.0,26.0,123.0,201.0,3.93,822.0,699.0,56,61.85584685418796
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3,24.39366088
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.290928956
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28,46.2293658
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,53.52402188
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.51802636
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.37597436
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28,29.15794004
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99482412
446.0,24.0,79.0,162.0,11.61,967.0,712.0,28,57.02655996
194.68,0.0,100.52,170.17,7.48,998.0,901.8,28,37.2661778
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74477404
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.946021079999998
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.655112243999994
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.301690799999996
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.349864196
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,52.61391356
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28,22.629981272
290.35,0.0,96.18,168.08,9.41,961.18,865.0,14,34.67374804
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.6495464
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,3,16.27852836
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14,20.91870184
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,100,43.58177796
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28,37.431652039999996
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3,13.54130864
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.813781648
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,54.598914963999995
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28,36.34917472
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.17966352
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61185510399999
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.86640156
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,34.6806428
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.94882902
153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28,25.559564796
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,3,15.340841
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28,18.28490352
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.215586251999994
516.0,0.0,0.0,162.0,8.26,801.0,802.0,28,41.36856
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100,47.739318239999996
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7,38.610656
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100,33.5430074
146.5,114.6,89.3,201.9,8.8,860.0,829.5,28,19.98790924
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.691434559999998
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28,31.899986092
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,42.14008364399999
250.0,0.0,95.69,187.42,5.53,956.86,861.17,14,24.91766264
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,14.699628319999999
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7,50.511011759999995
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.719503284
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.90037588
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.011451319999999
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.104080959999997
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.596806471999997
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28,32.39847724
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.131420144
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,52.20022796
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28,37.813621743999995
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28,44.6090972
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3,19.93275116
157.0,214.0,152.0,200.0,9.0,819.0,704.0,28,33.05347944
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14,33.70158688
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.50971276
149.0,236.0,0.0,176.0,13.0,847.0,893.0,28,32.956952799999996
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28,8.53571288
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56,56.14403068
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,14.94094492
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.229026048
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,39.05192064
359.0,19.0,141.0,154.0,10.91,942.0,801.0,28,59.494884039999995
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.90127512
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14,26.310404159999997
290.35,0.0,96.18,168.08,9.41,961.18,865.0,100,48.97348028
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,53.77223324
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.922658848
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.79707432
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.401235144
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29453624
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,3,12.47262084
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28,51.021224
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.959470848000002
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.826961643999994
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24379476
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,28,40.14818748
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28,15.091250688
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.902344236
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28,33.762260768
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,100,37.9556538
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.82401392
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.19840936
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,47.22221124
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.052779992
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.39665864
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.63809508
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7,23.221551679999997
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.49762199999999
284.0,15.0,141.0,179.0,5.46,842.0,801.0,3,13.395533715270679
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.504756439999998
144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28,15.340841
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28,20.593958644
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28,43.69898888
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3,25.11662571527068
233.81,0.0,94.58,197.89,4.567,947.04,852.16,3,10.38350856
305.0,0.0,100.0,196.0,10.0,959.0,705.0,28,30.12320644
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.30053176
314.0,0.0,113.0,170.0,10.0,925.0,783.0,28,38.45897128
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,28,47.401475
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.039949719999996
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.269535256000005
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,56,28.62704352
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,65.99664272
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28,15.526310044
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28,38.461039708
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,100,56.8128224
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56,35.852751999999995
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,34.48758952
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3,10.0318758
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.565230536
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180,61.921839559999995
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3,14.98920824
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28,65.90701084
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35047372
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.260122448
295.71,0.0,95.64,171.54,8.87,955.14,859.2,3,22.94576128
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90,58.78472376
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.3403214
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.073134491999998
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,100,45.83636448
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28,42.6440906
272.6,0.0,89.6,198.7,10.6,931.3,762.2,28,32.245413568000004
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28,33.79811352
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,29.55094136
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88455782
310.0,0.0,0.0,192.0,0.0,970.0,850.0,360,38.11423328
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.542997428
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,24.00065956
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.721921436
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,32.102692036
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3,23.34565736
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.447869684
250.2,166.8,0.0,203.5,0.0,977.6,694.1,28,36.964187312
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3,30.44726016
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.419591196
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,28.98557104
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7,21.160018439999998
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28,32.051670812
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14,33.08795324
140.0,133.0,103.0,200.0,7.0,916.0,753.0,28,36.4388066
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,56,36.3009114
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.893960655999997
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77327244
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.20100736
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,59.76377968
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.89581932
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.3385028
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28,23.524231644
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.5992248
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.275510655999998
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.296095039999997
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.79421652
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3,9.731264264
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,3,11.98309288
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28,13.293786756
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14,48.401215199999996
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.398217439999996
356.0,0.0,142.0,193.0,11.0,801.0,778.0,28,40.865242519999995
233.81,0.0,94.58,197.89,4.567,947.04,852.16,100,34.55653712
249.1,0.0,98.75,158.11,12.8,987.76,889.01,28,30.84715624
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.049192651999999
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14492992
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.420110796000003
146.0,230.0,0.0,202.0,3.0,827.0,872.0,28,33.0603742
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.003837168
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180,37.32823064
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.563252031999994
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,3,17.57474324
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7,35.75425543054136
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.748321315999998
491.0,26.0,123.0,210.0,3.93,882.0,699.0,3,25.60910856945864
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,100,37.34202016
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.12632404
152.7,144.7,0.0,178.1,8.0,999.7,822.2,28,19.009542795999998
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.200357771999997
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.38846488
491.0,26.0,123.0,201.0,3.93,822.0,699.0,28,57.915983999999995
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35047372
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,14,42.21661548
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.79811352
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05140104
387.0,20.0,94.0,157.0,11.61,938.0,845.0,3,34.77027468
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.80073164
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21271848
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,72.29845336
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28,9.735401119999999
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.95839176
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,37.997022359999995
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.300132
153.1,145.0,113.0,178.5,8.0,867.2,824.0,28,26.233182848000002
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100,66.42411784
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28,46.24315532
387.0,20.0,94.0,157.0,13.93,938.0,845.0,7,45.89841732
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,28,33.27411176
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.275580636
238.05,0.0,94.11,186.66,7.0,949.91,847.01,28,30.2335226
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14,21.26343984
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.69860924
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.89749796
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,38.60376124
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.32952964
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3,15.81657944
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.19984832
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28,43.57833058
202.0,11.0,141.0,206.0,1.72,942.0,801.0,56,23.24519085418796
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.29663476
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.71882378
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,56,56.847296199999995
203.5,305.3,0.0,203.5,0.0,963.4,630.0,90,51.863763672
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.881630039999997
