"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group B","bachelor's degree","standard","none","74","68","67"
"female","group C","some college","standard","completed","58","68","66"
"male","group C","some college","free/reduced","none","66","65","65"
"female","group D","bachelor's degree","free/reduced","none","74","75","73"
"male","group D","some college","standard","none","78","77","71"
"female","group D","associate's degree","standard","completed","75","82","85"
"female","group B","associate's degree","free/reduced","none","69","78","80"
"male","group E","some high school","free/reduced","none","54","50","48"
"male","group C","some high school","standard","completed","65","58","55"
"male","group B","master's degree","standard","none","87","75","79"
"female","group E","some college","free/reduced","none","64","69","65"
"male","group C","bachelor's degree","standard","none","44","39","35"
"female","group C","some college","standard","none","57","62","64"
"female","group D","high school","free/reduced","completed","40","60","51"
"female","group C","master's degree","free/reduced","none","52","59","60"
"male","group D","some college","free/reduced","completed","75","64","70"
"male","group E","some college","free/reduced","completed","57","59","58"
"male","group C","associate's degree","standard","none","82","74","64"
"female","group C","associate's degree","free/reduced","none","49","62","55"
"female","group A","some high school","free/reduced","none","58","80","68"
"male","group C","some high school","standard","none","37","40","37"
"male","group B","some high school","standard","completed","61","59","61"
"female","group D","high school","standard","completed","61","72","67"
"female","group C","some college","standard","none","73","77","80"
"female","group D","associate's degree","standard","none","57","59","57"
"female","group B","associate's degree","free/reduced","none","57","74","73"
"male","group B","some high school","standard","none","86","77","81"
"female","group D","high school","free/reduced","completed","48","63","69"
"male","group C","high school","standard","none","66","64","53"
"male","group C","some college","standard","none","60","51","48"
"male","group D","some college","standard","none","73","64","57"
"male","group E","some college","standard","none","76","65","63"
"female","group C","associate's degree","standard","none","64","63","66"
"male","group B","high school","standard","none","55","48","45"
"female","group B","some high school","standard","none","72","80","81"
"female","group B","high school","standard","none","58","62","63"
"female","group D","associate's degree","free/reduced","none","36","44","41"
"male","group B","some college","standard","none","83","85","80"
"male","group E","high school","free/reduced","none","70","65","65"
"male","group C","associate's degree","standard","none","80","62","65"
"female","group C","associate's degree","standard","none","55","63","60"
"female","group E","some college","standard","none","56","59","60"
"male","group B","associate's degree","standard","completed","91","98","96"
"male","group E","some high school","standard","none","57","55","52"
"female","group C","associate's degree","standard","none","49","63","54"
"female","group C","high school","free/reduced","none","67","90","80"
"female","group B","master's degree","free/reduced","none","56","61","60"
"female","group B","some high school","standard","none","75","89","88"
"female","group E","associate's degree","standard","completed","87","88","94"
"female","group D","some high school","free/reduced","none","53","61","65"
"female","group B","some high school","standard","none","67","80","76"
"male","group C","some college","standard","none","77","65","66"
"male","group B","some college","free/reduced","none","49","64","59"
"female","group B","high school","standard","completed","81","94","91"
"female","group B","master's degree","standard","none","89","97","94"
"male","group C","high school","standard","none","64","76","62"
"male","group C","some high school","free/reduced","none","51","46","45"
"female","group C","some high school","standard","completed","54","74","69"
"female","group C","some high school","free/reduced","completed","44","53","57"
"male","group C","associate's degree","standard","none","72","64","61"
"female","group C","associate's degree","free/reduced","completed","44","54","59"
"male","group E","some college","free/reduced","none","96","76","76"
"male","group E","some college","free/reduced","none","88","81","78"
"female","group C","some high school","free/reduced","completed","54","66","65"
"female","group D","some high school","standard","none","63","73","70"
"male","group B","bachelor's degree","standard","completed","55","56","59"
"male","group C","associate's degree","standard","none","70","66","64"
"female","group D","some college","standard","none","76","91","86"
"male","group D","associate's degree","free/reduced","completed","71","78","77"
"female","group B","associate's degree","standard","none","76","86","80"
"male","group C","some high school","standard","completed","53","46","49"
"female","group C","associate's degree","free/reduced","completed","81","93","91"
"female","group E","associate's degree","standard","completed","68","74","76"
"male","group B","associate's degree","standard","none","75","60","63"
"female","group D","some high school","free/reduced","none","38","45","45"
"female","group C","some high school","standard","none","51","61","62"
"female","group D","some college","standard","none","79","84","82"
"female","group D","high school","standard","none","69","85","85"
"female","group C","master's degree","standard","none","90","93","93"
"male","group B","high school","standard","none","77","63","64"
"male","group A","some high school","free/reduced","none","72","74","69"
"female","group D","high school","standard","none","63","61","57"
"female","group E","high school","free/reduced","completed","67","73","72"
"female","group D","master's degree","standard","none","60","70","75"
"male","group D","master's degree","standard","none","70","73","68"
"female","group D","some high school","standard","none","73","87","84"
"female","group B","some college","standard","none","48","65","62"
"female","group C","some high school","standard","none","47","55","53"
"female","group C","master's degree","free/reduced","completed","33","59","63"
"male","group E","some college","standard","none","87","84","83"
"female","group C","master's degree","standard","none","64","77","78"
"male","group D","associate's degree","standard","none","100","94","96"
"female","group D","some college","standard","none","83","85","87"
"male","group D","high school","standard","none","74","71","66"
"female","group B","associate's degree","standard","none","38","53","53"
"female","group C","some high school","standard","none","42","46","40"
"male","group C","some high school","standard","completed","80","80","81"
"male","group B","some college","standard","none","58","53","52"
"male","group A","some high school","standard","none","45","48","35"
"female","group C","associate's degree","standard","none","68","85","80"
"female","group C","some college","standard","none","62","80","80"
"male","group D","high school","standard","completed","77","76","72"
"male","group B","associate's degree","free/reduced","none","78","74","73"
"female","group D","master's degree","free/reduced","none","61","72","73"
"female","group B","master's degree","standard","completed","65","73","82"
"female","group B","master's degree","standard","none","64","69","66"
"female","group E","some college","standard","completed","79","89","84"
"male","group D","some college","standard","completed","66","57","64"
"female","group D","associate's degree","standard","completed","68","82","80"
"male","group A","bachelor's degree","free/reduced","none","47","55","53"
"female","group D","associate's degree","free/reduced","none","56","64","61"
"male","group B","associate's degree","standard","none","58","60","57"
"female","group D","high school","standard","none","46","52","60"
"male","group C","master's degree","standard","none","78","75","69"
"male","group C","high school","standard","none","63","61","60"
"female","group E","some college","free/reduced","none","66","74","69"
"female","group B","associate's degree","standard","none","73","79","76"
"female","group D","some high school","standard","none","31","39","43"
"female","group B","some college","free/reduced","none","61","69","64"
"female","group D","some college","standard","none","59","77","75"
"female","group B","some college","standard","none","65","63","62"
"female","group B","high school","free/reduced","none","60","73","69"
"female","group C","high school","free/reduced","none","60","63","64"
"male","group D","bachelor's degree","standard","completed","69","62","68"
"female","group C","bachelor's degree","free/reduced","none","44","59","60"
"female","group B","some college","standard","none","58","68","61"
"male","group C","high school","standard","completed","84","85","86"
"male","group E","some college","standard","completed","91","88","79"
"male","group A","associate's degree","standard","completed","100","97","94"
"female","group B","high school","standard","none","67","80","78"
"male","group E","high school","free/reduced","completed","56","57","51"
"female","group D","some college","standard","none","56","62","64"
"female","group C","some high school","free/reduced","none","53","63","55"
"male","group E","some high school","standard","none","51","42","40"
"female","group B","master's degree","standard","none","51","51","54"
"male","group B","high school","free/reduced","none","77","78","74"
"female","group B","bachelor's degree","standard","completed","79","100","97"
"male","group B","bachelor's degree","standard","completed","94","86","88"
"female","group B","associate's degree","standard","none","73","93","85"
"male","group C","high school","free/reduced","none","42","49","46"
"female","group B","master's degree","free/reduced","completed","78","90","100"
"female","group C","some college","free/reduced","none","54","63","69"
"female","group C","master's degree","free/reduced","none","67","72","67"
"male","group D","some college","free/reduced","none","68","73","71"
"male","group D","associate's degree","free/reduced","none","75","71","70"
"female","group B","some college","standard","none","87","93","93"
"male","group C","high school","free/reduced","none","60","60","62"
"female","group C","high school","free/reduced","none","57","70","64"
"male","group C","associate's degree","standard","none","69","63","60"
"female","group C","associate's degree","free/reduced","completed","52","58","61"
"male","group C","associate's degree","free/reduced","none","68","58","62"
"male","group D","bachelor's degree","free/reduced","completed","66","63","67"
"male","group C","some college","standard","completed","85","94","94"
"male","group D","master's degree","standard","none","85","83","83"
"male","group B","high school","standard","none","51","54","53"
"female","group D","high school","free/reduced","none","59","75","71"
"female","group C","high school","free/reduced","none","64","55","55"
"male","group A","associate's degree","free/reduced","completed","77","84","80"
"female","group E","some college","standard","none","69","74","74"
"male","group E","some high school","free/reduced","none","72","72","71"
"male","group D","high school","free/reduced","none","52","48","41"
"female","group B","high school","standard","none","71","71","71"
"female","group C","associate's degree","standard","none","56","69","62"
"male","group C","master's degree","standard","completed","85","81","78"
"male","group C","some college","free/reduced","completed","61","63","61"
"male","group C","some college","free/reduced","completed","71","77","75"
"female","group E","some college","standard","none","78","81","81"
"male","group D","associate's degree","standard","completed","84","72","73"
"female","group C","some college","standard","none","63","67","64"
"male","group C","bachelor's degree","standard","completed","91","79","83"
"female","group C","master's degree","free/reduced","none","52","59","55"
"female","group B","some college","standard","completed","68","74","80"
"male","group C","some college","standard","completed","53","43","49"
"female","group E","master's degree","standard","none","76","85","84"
"male","group D","some college","standard","none","83","75","83"
"female","group C","associate's degree","standard","none","67","67","64"
"female","group D","associate's degree","standard","none","62","57","68"
"male","group E","associate's degree","standard","none","77","79","75"
"female","group A","some high school","standard","none","64","76","78"
"female","group B","associate's degree","standard","completed","66","69","69"
"female","group D","associate's degree","free/reduced","none","48","56","66"
"male","group C","some college","standard","completed","92","94","90"
"female","group E","associate's degree","standard","completed","63","60","72"
"female","group C","high school","standard","none","81","97","86"
"male","group A","high school","standard","none","54","47","44"
"female","group B","some college","standard","completed","53","62","66"
"female","group B","master's degree","standard","completed","83","100","100"
"male","group A","associate's degree","standard","none","69","66","68"
"male","group D","associate's degree","standard","none","78","76","82"
"female","group E","some college","standard","none","71","71","65"
"female","group E","some high school","standard","none","61","53","62"
"female","group D","some high school","standard","none","57","76","69"
"male","group C","some college","free/reduced","none","61","71","67"
"female","group B","bachelor's degree","standard","none","70","81","77"
"female","group D","high school","standard","none","64","78","72"
"female","group C","some high school","standard","none","70","74","73"
"male","group B","associate's degree","standard","none","56","50","48"
"female","group C","bachelor's degree","standard","completed","78","93","94"
"female","group C","some college","standard","completed","63","85","88"
"male","group C","some high school","free/reduced","completed","65","77","75"
"female","group D","master's degree","free/reduced","completed","84","100","100"
"female","group D","some high school","standard","none","70","82","78"
"male","group D","associate's degree","standard","completed","82","81","77"
"female","group C","associate's degree","standard","none","37","49","43"
"male","group D","high school","standard","none","77","70","69"
"male","group E","some college","standard","none","61","48","49"
"male","group B","high school","standard","none","85","83","81"
"male","group D","some high school","standard","completed","79","77","73"
"male","group D","some college","free/reduced","completed","87","91","91"
"male","group C","bachelor's degree","standard","completed","87","93","90"
"female","group C","master's degree","free/reduced","completed","33","56","58"
"female","group D","master's degree","free/reduced","none","60","72","74"
"female","group C","high school","standard","none","67","72","72"
"female","group D","high school","standard","none","62","78","73"
"female","group E","some college","standard","completed","80","83","84"
"male","group E","high school","standard","completed","65","49","53"
"female","group D","some college","standard","completed","90","100","100"
"male","group E","bachelor's degree","free/reduced","completed","92","87","84"
"female","group D","high school","standard","none","46","48","52"
"female","group D","high school","standard","none","58","61","59"
"male","group D","high school","standard","completed","89","89","91"
"female","group E","some college","free/reduced","none","54","68","65"
"male","group B","some college","free/reduced","none","71","66","68"
"male","group E","some college","free/reduced","completed","66","67","68"
"female","group C","master's degree","standard","none","68","78","79"
"male","group D","bachelor's degree","free/reduced","none","50","52","55"
"female","group B","associate's degree","standard","none","71","88","90"
"male","group C","some college","free/reduced","completed","57","69","71"
"male","group B","some high school","standard","none","58","52","46"
"female","group C","some college","free/reduced","none","37","56","56"
"female","group C","some high school","free/reduced","none","63","82","76"
"male","group D","some college","standard","none","76","69","65"
"female","group C","associate's degree","free/reduced","completed","42","57","53"
"female","group C","high school","standard","none","89","84","87"
"male","group D","some college","free/reduced","none","34","39","37"
"female","group C","some high school","free/reduced","none","39","61","49"
"female","group B","high school","standard","completed","69","80","78"
"female","group C","bachelor's degree","standard","none","63","76","78"
"female","group D","high school","standard","none","43","55","56"
"female","group C","some high school","standard","none","73","83","79"
"female","group C","some college","standard","completed","59","66","68"
"male","group C","associate's degree","standard","none","65","65","51"
"male","group C","associate's degree","standard","none","71","64","59"
"male","group D","some high school","free/reduced","none","56","55","54"
"female","group C","associate's degree","standard","none","50","57","62"
"female","group A","associate's degree","free/reduced","completed","61","73","68"
"male","group B","some college","free/reduced","none","53","61","51"
"female","group E","some college","free/reduced","none","74","74","73"
"male","group D","some high school","free/reduced","completed","62","67","71"
"male","group D","some high school","standard","none","81","79","77"
"male","group B","some high school","standard","none","63","65","60"
"male","group D","some college","standard","none","64","54","61"
"female","group C","some college","standard","none","92","86","89"
"male","group C","associate's degree","standard","none","95","84","87"
"male","group D","high school","free/reduced","completed","73","79","78"
"male","group C","associate's degree","standard","none","57","59","62"
"female","group C","bachelor's degree","free/reduced","none","53","81","74"
"male","group D","some college","standard","none","62","58","61"
"male","group D","some college","standard","none","60","62","58"
"female","group C","bachelor's degree","free/reduced","none","55","68","68"
"female","group D","some college","standard","completed","78","87","93"
"male","group A","some high school","free/reduced","completed","38","35","35"
"male","group B","bachelor's degree","free/reduced","completed","44","51","47"
"male","group E","some high school","standard","none","63","46","46"
"female","group A","associate's degree","standard","completed","43","56","57"
"female","group E","associate's degree","standard","completed","87","90","89"
"male","group B","some high school","free/reduced","none","47","45","39"
"male","group D","some high school","standard","none","78","73","73"
"male","group D","some college","standard","none","62","57","59"
"male","group D","high school","standard","none","52","46","46"
"male","group D","high school","standard","none","77","70","68"
"female","group E","master's degree","standard","completed","95","99","100"
"female","group D","high school","standard","none","93","91","94"
"female","group C","high school","standard","completed","89","100","100"
"male","group B","some high school","standard","completed","67","60","57"
"male","group E","associate's degree","standard","none","88","77","71"
"female","group A","some high school","standard","none","61","63","61"
"female","group E","high school","standard","none","93","98","94"
"female","group D","some college","standard","none","85","90","83"
"female","group E","associate's degree","standard","completed","81","79","87"
"male","group B","associate's degree","free/reduced","none","66","72","68"
"male","group D","associate's degree","standard","none","79","77","75"
"male","group C","some college","standard","completed","67","64","62"
"male","group E","some high school","standard","none","64","49","45"
"female","group C","associate's degree","standard","none","89","95","94"
"female","group E","some college","free/reduced","none","67","72","69"
"female","group D","some college","standard","none","62","61","73"
"female","group E","some college","free/reduced","none","88","97","90"
"male","group E","master's degree","standard","none","86","84","78"
"female","group B","some college","standard","none","68","73","72"
"female","group D","some high school","standard","none","63","61","60"
"male","group D","some college","standard","none","82","78","82"
"male","group B","some college","free/reduced","completed","43","51","49"
"male","group C","some high school","standard","completed","72","74","69"
"male","group E","some high school","free/reduced","completed","52","35","41"
"female","group B","bachelor's degree","standard","completed","73","88","91"
"male","group C","some college","free/reduced","none","61","61","48"
"female","group B","associate's degree","free/reduced","none","68","79","71"
"male","group C","associate's degree","standard","none","48","54","53"
"female","group D","some college","standard","none","62","64","69"
"male","group D","high school","standard","completed","82","70","72"
"female","group D","high school","standard","completed","59","64","62"
"male","group D","high school","standard","none","74","62","66"
"female","group C","high school","free/reduced","none","37","52","45"
"male","group D","high school","standard","none","74","65","63"
"male","group C","high school","standard","completed","60","59","54"
"male","group D","master's degree","standard","none","67","62","60"
"male","group C","bachelor's degree","standard","none","62","68","66"
"female","group C","some college","free/reduced","completed","42","56","58"
"female","group D","some high school","free/reduced","none","42","54","51"
"female","group B","high school","standard","none","30","33","31"
"female","group E","high school","free/reduced","none","70","77","68"
"female","group C","high school","free/reduced","none","46","66","62"
"male","group A","bachelor's degree","standard","completed","58","68","70"
"female","group B","some college","free/reduced","none","37","49","40"
"female","group B","high school","standard","none","59","75","72"
"female","group B","bachelor's degree","free/reduced","completed","28","32","36"
"male","group C","some high school","standard","completed","82","72","66"
"male","group E","high school","standard","none","90","79","76"
"male","group D","some college","standard","completed","90","92","92"
"male","group D","bachelor's degree","standard","none","79","82","83"
"female","group B","high school","free/reduced","none","52","67","67"
"female","group D","some college","standard","none","58","62","57"
"female","group B","master's degree","standard","none","64","71","69"
"male","group D","master's degree","free/reduced","none","66","65","62"
"male","group E","bachelor's degree","standard","none","58","43","40"
"female","group C","some high school","standard","none","71","93","90"
"female","group C","bachelor's degree","standard","completed","48","47","55"
"male","group C","high school","standard","none","61","68","63"
"male","group C","bachelor's degree","standard","completed","44","40","41"
"male","group C","high school","free/reduced","none","49","54","48"
"male","group C","some high school","free/reduced","completed","61","59","55"
"male","group A","some college","standard","none","74","70","63"
"female","group D","some college","standard","none","87","88","96"
"female","group D","master's degree","standard","completed","61","63","67"
"female","group B","some college","standard","none","51","53","60"
"female","group D","bachelor's degree","free/reduced","completed","59","71","73"
"male","group E","high school","standard","none","90","71","68"
"male","group D","some college","free/reduced","completed","64","64","64"
"female","group B","some high school","standard","none","35","43","37"
"female","group D","associate's degree","free/reduced","none","45","57","58"
"male","group B","some high school","standard","none","92","83","77"
"male","group D","high school","standard","none","54","41","41"
"male","group B","some college","standard","completed","79","79","78"
"male","group D","some college","standard","none","74","65","70"
"female","group B","some college","free/reduced","completed","42","66","70"
"female","group D","high school","free/reduced","none","44","48","48"
"female","group B","associate's degree","standard","none","60","70","65"
"female","group C","high school","free/reduced","none","60","63","59"
"male","group B","some high school","free/reduced","none","25","31","30"
"female","group C","some college","free/reduced","completed","71","73","76"
"female","group B","some college","standard","completed","49","64","62"
"male","group E","some college","free/reduced","none","77","73","65"
"male","group C","some high school","standard","none","82","76","71"
"male","group C","high school","standard","none","38","39","33"
"male","group C","associate's degree","standard","none","69","58","60"
"male","group E","some college","standard","completed","84","75","78"
"female","group C","high school","free/reduced","none","53","53","60"
"male","group B","associate's degree","standard","none","59","55","49"
"male","group B","associate's degree","free/reduced","completed","85","87","84"
"female","group C","associate's degree","free/reduced","completed","33","40","41"
"female","group D","high school","free/reduced","none","67","80","75"
"male","group B","bachelor's degree","free/reduced","completed","72","74","74"
"male","group A","some high school","free/reduced","none","50","46","44"
"male","group B","some college","free/reduced","none","60","69","57"
"male","group D","high school","free/reduced","none","60","55","56"
"male","group C","some college","standard","completed","70","59","61"
"female","group D","some college","standard","none","90","94","94"
"female","group D","associate's degree","free/reduced","completed","52","73","64"
"female","group D","some high school","free/reduced","completed","61","75","67"
"male","group E","some high school","standard","none","88","72","71"
"female","group A","associate's degree","free/reduced","none","59","66","62"
"male","group B","some college","standard","completed","96","95","91"
"male","group D","associate's degree","standard","none","54","38","40"
"male","group E","master's degree","free/reduced","none","65","63","60"
"male","group C","high school","standard","none","75","71","68"
"male","group D","master's degree","standard","none","80","87","80"
"female","group A","associate's degree","free/reduced","none","63","73","70"
"female","group B","some high school","free/reduced","completed","69","78","83"
"male","group D","bachelor's degree","standard","none","76","78","72"
"female","group B","bachelor's degree","free/reduced","completed","75","90","93"
"male","group E","some high school","standard","completed","82","68","75"
"female","group D","associate's degree","free/reduced","none","55","72","68"
"female","group B","some college","free/reduced","none","34","45","48"
"female","group C","associate's degree","standard","none","88","96","94"
"female","group E","high school","standard","completed","62","70","69"
"male","group A","some high school","standard","completed","88","94","92"
"male","group C","bachelor's degree","free/reduced","none","59","55","52"
"female","group D","master's degree","free/reduced","none","51","62","62"
"female","group B","some high school","standard","none","76","78","79"
"male","group D","bachelor's degree","standard","none","94","93","83"
"male","group B","some high school","standard","completed","67","64","60"
"male","group D","some high school","free/reduced","completed","59","57","63"
"male","group E","some high school","free/reduced","none","64","57","54"
"female","group B","some college","standard","completed","82","100","96"
"female","group C","some college","standard","none","56","62","61"
"female","group E","bachelor's degree","standard","completed","73","80","82"
"male","group A","some high school","standard","none","78","82","72"
"female","group E","associate's degree","standard","none","73","81","75"
"female","group B","some college","standard","none","82","93","84"
"female","group E","associate's degree","standard","none","76","83","79"
"male","group B","associate's degree","standard","none","68","63","63"
"male","group B","bachelor's degree","free/reduced","none","54","68","60"
"female","group A","some college","standard","none","75","89","89"
"female","group B","high school","standard","completed","68","79","77"
"female","group E","some high school","standard","none","51","60","64"
"male","group C","some college","standard","completed","64","59","61"
"male","group B","high school","standard","none","63","57","53"
"male","group A","some high school","standard","none","75","58","61"
"male","group D","some high school","free/reduced","completed","61","65","69"
"female","group C","master's degree","free/reduced","completed","63","74","84"
"male","group A","high school","standard","completed","60","56","55"
"male","group B","bachelor's degree","standard","completed","63","60","63"
"female","group C","some high school","standard","none","31","41","35"
"female","group E","master's degree","free/reduced","none","79","95","88"
"male","group D","master's degree","free/reduced","completed","79","81","83"
"female","group C","associate's degree","free/reduced","completed","55","66","68"
"female","group A","some college","free/reduced","none","56","70","63"
"male","group B","some high school","free/reduced","none","54","61","54"
"male","group D","high school","standard","completed","85","81","78"
"female","group C","some high school","standard","completed","47","63","58"
"female","group D","high school","free/reduced","none","48","59","60"
"female","group E","master's degree","free/reduced","completed","67","76","76"
"male","group B","master's degree","free/reduced","completed","64","60","60"
"male","group E","high school","standard","completed","88","87","82"
"female","group E","high school","standard","completed","88","82","82"
"male","group A","some high school","standard","none","43","27","34"
"male","group C","bachelor's degree","free/reduced","none","75","74","79"
"female","group D","bachelor's degree","standard","none","60","67","69"
"male","group E","some high school","free/reduced","none","72","58","51"
"male","group C","master's degree","standard","none","79","76","75"
"female","group C","some college","standard","completed","76","92","99"
"male","group E","associate's degree","free/reduced","none","61","55","50"
"male","group B","some college","free/reduced","none","50","46","44"
"male","group D","associate's degree","free/reduced","none","39","46","45"
"female","group C","associate's degree","free/reduced","none","71","80","76"
"female","group B","high school","standard","none","62","70","68"
"female","group B","associate's degree","standard","completed","49","59","58"
"male","group D","associate's degree","standard","completed","85","81","82"
"male","group D","high school","standard","none","70","64","69"
"female","group C","some college","standard","none","40","39","49"
"male","group D","some college","free/reduced","completed","63","56","58"
"male","group E","high school","standard","none","53","37","33"
"male","group C","bachelor's degree","free/reduced","completed","59","66","62"
"male","group D","some high school","standard","none","48","49","45"
"male","group D","associate's degree","standard","none","79","82","75"
"male","group E","high school","free/reduced","completed","82","85","83"
"male","group C","associate's degree","standard","completed","86","73","77"
"male","group D","bachelor's degree","standard","completed","77","85","84"
"female","group D","some college","standard","none","79","87","83"
"female","group A","some college","standard","none","65","79","79"
"female","group B","some high school","standard","completed","80","77","74"
"female","group A","some college","free/reduced","none","54","63","57"
"male","group C","high school","standard","completed","72","75","66"
"female","group B","high school","free/reduced","none","44","56","53"
"female","group D","some high school","free/reduced","none","63","80","81"
"female","group C","some college","standard","completed","77","88","91"
"female","group B","associate's degree","free/reduced","none","65","70","72"
"female","group D","associate's degree","standard","completed","54","69","70"
"female","group C","some high school","standard","none","75","95","91"
"male","group B","high school","standard","none","72","57","58"
"male","group E","associate's degree","standard","completed","80","76","74"
"male","group C","bachelor's degree","standard","none","65","59","54"
"female","group D","high school","standard","none","87","96","95"
"female","group C","high school","standard","completed","81","81","77"
"male","group A","some high school","standard","none","78","65","74"
"female","group B","some college","free/reduced","none","61","62","60"
"female","group C","some college","standard","completed","56","69","63"
"male","group C","some college","free/reduced","completed","71","57","66"
"male","group C","associate's degree","standard","none","59","49","46"
"female","group E","some college","free/reduced","none","59","70","66"
"male","group B","associate's degree","standard","completed","78","82","77"
"male","group C","associate's degree","standard","none","78","79","81"
"female","group D","associate's degree","free/reduced","completed","48","66","60"
"female","group E","bachelor's degree","standard","none","92","100","94"
"male","group E","associate's degree","standard","none","60","57","54"
"male","group D","some college","standard","none","79","82","76"
"male","group B","bachelor's degree","free/reduced","completed","52","54","56"
"male","group B","high school","free/reduced","completed","40","46","40"
"female","group A","high school","standard","completed","83","98","100"
"female","group C","high school","standard","completed","69","82","83"
"female","group B","some high school","standard","none","70","82","79"
"male","group C","some college","free/reduced","none","62","59","57"
"female","group D","associate's degree","free/reduced","none","59","66","59"
"female","group A","some college","free/reduced","completed","55","58","67"
"male","group C","some college","standard","completed","73","64","69"
"male","group E","high school","standard","completed","75","66","62"
"male","group E","some college","standard","none","88","72","73"
"female","group C","associate's degree","free/reduced","none","64","73","71"
"male","group C","some college","standard","completed","49","49","51"
"female","group C","some college","free/reduced","none","54","75","65"
"male","group B","bachelor's degree","standard","completed","80","79","76"
"male","group D","some college","standard","none","63","54","60"
"male","group A","some high school","standard","none","62","50","46"
"male","group C","high school","free/reduced","completed","69","75","67"
"male","group C","master's degree","standard","completed","100","96","100"
"male","group C","some college","free/reduced","completed","52","59","55"
"female","group E","associate's degree","standard","none","72","76","73"
"female","group C","associate's degree","standard","completed","81","87","88"
"male","group B","some high school","free/reduced","none","63","59","58"
